Comment,Designator,Footprint,LCSC Part #
1.1k,R32,R0402,
1N4148,D3,SOD323-R,C84063
1k,R22,R0402,
1uF,C7,C0603,
2.2uF,C23,C0603,
2.4k,R6 R38 R39,R0402,
4.7k,R33 R34,R0402,
4.99k,R31,R0402,
5.1k,R4 R5,R0402,
10k,R1 R2 R3 R11 R25 R29 R30 R35 R36,R0402,
10n,C22,C0402,
12.1k,R24,R0402,
22p,C31,C0402,
22uF,C10 C28 C29 C32 C33,C0603,
33pF,C35,C0402,
47uF,C2,C0603,
49.9,R17 R18 R19 R20,R0402,
56k,R12,R0402,
100k,R26,R0402,
100n,C4 C11 C12 C18 C19 C20 C26 C30 C34,C0402,
100nF,C1,C0603,
100nF,C6 C36,C0402,
100uF,C3,C1206,
120,R37,R0402,
7404PW 118,IC7,TSSOP14,C80000
BAT60B,D1 D2 D4,SOD323-R,C3018529
CH9102F,IC3,QFN24-4X4,
ESP32-WROOM-32E,IC2,ESP32WROOM32E,C701343
GREEN,POWER RX,CHIPLED_0402,
HR641680E,TR1,ETH_TR,
LAN8720A-CP-ABC,IC4,QFN50P400X400X100-25N,C621419
MF-MSMF010-2,R40 R41,CT/CN1812,C12430
MMDT3904,Q1,SC70-6,C268586
MPL2016S2R2,L2,L2016,C42215
ORANGE,TX,CHIPLED_0402,
PSM712-LF-T7,TVS1,SOT23,C32677
SMF05C,IC6,SOT65P210X110-6N,C558425
SY8089AAAC,IC5,SOT-23-5,C78988
TF-123-ARP9H17,SD_CARD,SD_CARD_M,C2982548
TS1088R02026,RESET,TS1088R02026,C455280
USB-C_2-16PIN,J4,USBC_USB-C-16P-5,C2837092
WS3081,IC8,SO08,C2691428
uSup,J3,1X04_1MM_RA_VERT,C371588
1k,R23,R0402,
1n/2KV,C15,C1206,C23631
10k,R27 R28 R42 R43,R0402,
10n/100V,C13 C14 C16 C17,C0603,
10uF,C21,C0603,
22uF,C27,C0603,
75,R13 R14 R15 R16,R0603,C112309
100nF,C5,C0402,
YI201209U601-2R0T,L1,L0805,C2858468
TERMINAL_2_54_3P,RS485,TERMINAL_2_54_3P,C68305
R-RJ45R08P-C000,LAN,R-RJ45R08P-C000,C386757
